,scenario,decade,manage.cost.rxfire.timberrev.transport.net_mean,manage.cost.rxfire.timberrev.transport.net_sd,all.costs.manage.timber.transport.rx.wildfire_mean,all.costs.manage.timber.transport.rx.wildfire_sd,wildfire.cost_mean,wildfire.cost_sd,chips.green.to.gen.mtons_mean,chips.green.to.gen.mtons_sd,timber.biomass.rev.post.trans.net_mean,timber.biomass.rev.post.trans.net_sd,timber.cuft.annualavg_mean,timber.cuft.annualavg_sd,cumulative.sequestration.allpools.mtons.carbon.decadeavg_mean,cumulative.sequestration.allpools.mtons.carbon.decadeavg_sd
1,1,"(0,10]",0,0,1256928.844,1887297.065,1256928.844,1887297.065,0,0,0,0,NA,NA,156126.2612,96335.01027
2,1,"(10,20]",0,0,2143720.833,3566215.02,2143720.833,3566215.02,0,0,0,0,NA,NA,387733.0463,51618.31175
3,1,"(20,30]",0,0,1713594.683,2613799.364,1713594.683,2613799.364,0,0,0,0,NA,NA,604967.8557,90766.62944
4,1,"(30,40]",0,0,1770637.579,3026931.145,1770637.579,3026931.145,0,0,0,0,NA,NA,874644.5426,107954.3447
5,1,"(40,50]",0,0,1507701.253,2518816.021,1507701.253,2518816.021,0,0,0,0,NA,NA,1172422.614,113152.5399
6,1,"(50,60]",0,0,2144327.661,3333629.011,2144327.661,3333629.011,0,0,0,0,NA,NA,1426294.094,97138.29719
7,1,"(60,70]",0,0,1841974.082,3150757.605,1841974.082,3150757.605,0,0,0,0,NA,NA,1650164.076,114058.7987
8,1,"(70,80]",0,0,1289728.334,1919133.763,1289728.334,1919133.763,0,0,0,0,NA,NA,1897072.276,117341.9168
9,1,"(80,90]",0,0,2341440.668,3283738.624,2341440.668,3283738.624,0,0,0,0,NA,NA,2084199.623,111664.794
10,1,"(90,100]",0,0,2092556.389,3204856.987,2092556.389,3204856.987,0,0,0,0,NA,NA,2258875.496,101438.2837
11,2,"(0,10]",1469007.472,739951.1964,2732303.007,2221175.216,1263295.535,1922309.63,3504.277714,2588.34201,306426.8525,173538.0821,183009.5993,19721.36811,125598.1013,78230.38543
12,2,"(10,20]",1390508.026,708744.1025,3348386.46,3172580.462,1957878.434,3004150.331,3395.112586,2617.947051,334053.7471,178456.9482,201582.8269,19037.02527,317257.4377,43926.14396
13,2,"(20,30]",1556277.829,781592.9012,3412408.146,3164669.062,1856130.317,2899023.734,3123.839394,2454.577529,335657.4651,175025.6851,208122.3422,22798.17254,489488.5551,70323.84863
14,2,"(30,40]",1604431.514,975023.7743,2863514.364,2482650.695,1259082.85,2134209.066,3079.685107,2830.340185,367086.0321,219626.3161,232468.7934,34133.48775,724550.953,91346.81111
15,2,"(40,50]",1789586.859,1011670.099,3600870.54,2672817.381,1811283.681,2168415.816,3525.181982,3285.871051,425679.8599,228581.1746,269241.101,17793.91535,998688.4734,104315.8378
16,2,"(50,60]",1785427.723,956053.1419,4322709.63,3900244.74,2537281.907,3652068.782,3045.169648,2895.08238,387176.0035,208979.5486,252666.8104,36408.31646,1237155.914,101909.5507
17,2,"(60,70]",1883353.948,966018.7688,4213707.578,3575079.085,2330353.63,3246654.975,3473.605806,2957.355758,425462.3537,211813.4467,274318.8738,35670.96513,1440681.93,101664.6834
18,2,"(70,80]",1676250.153,900302.0533,2769629.664,2280629.704,1093379.512,1769297.035,3091.160958,2958.852006,411267.1283,220038.9882,269901.6809,26176.63762,1684710.422,101183.3389
19,2,"(80,90]",1507010.175,777969.8703,4149243.389,3976310.769,2642233.214,3767389.143,2860.388156,2571.327979,406299.7227,212182.2777,266733.2677,18671.80859,1877864.595,99316.10158
20,2,"(90,100]",1333067.05,706879.2726,3477437.025,3362558.078,2144369.976,3167736.255,2635.463566,2379.538747,369763.9231,204462.9866,239269.3301,24244.80037,2066625.087,107419.5854
21,3,"(0,10]",4719216.367,1510550.725,5832565.929,2345335.251,1113349.562,1735926.715,14107.59053,6008.980157,1460065.826,548581.4572,785168.3893,44587.94713,56698.20583,34994.29819
22,3,"(10,20]",3321026.404,1302632.335,5550422.481,3686165.522,2229396.076,3203416.895,8291.577617,4376.840685,990369.3177,425733.0311,544809.7688,35757.12461,151812.3707,26355.18954
23,3,"(20,30]",3331383.77,1285597.234,4779224.782,2929720.043,1447841.013,2396572.101,6794.523706,3320.640693,885819.1389,335169.0223,497802.8238,30900.556,261603.706,47072.8062
24,3,"(30,40]",3903721.052,1617466.242,5195140.721,2784993.339,1291419.669,1960927.38,7107.757071,3479.05146,991421.7979,382221.3519,573154.7592,28263.93673,419681.1486,56850.20843
25,3,"(40,50]",4537830.476,1763374.717,6413299.75,3454877.103,1875469.273,2379047.585,7791.197604,3816.598395,1087881.768,402591.7758,640795.4139,49134.20329,601755.5012,64171.50633
26,3,"(50,60]",5077850.721,2065699.667,7239971.611,4079456.65,2162120.889,3188899.888,7994.095837,4091.629864,1121927.782,402466.5734,667760.8738,47587.75359,790860.3299,59657.03675
27,3,"(60,70]",5273126.84,1857304.412,7463722.875,4421308.588,2190596.034,3745164.667,7947.13225,3732.127078,1176630.25,378735.6923,711768.2883,44452.53814,991017.3028,80043.4297
28,3,"(70,80]",5556451.889,2060521.382,6781339.974,3348535.453,1224888.085,2093123.359,8683.237155,4731.377798,1254748.292,444593.7473,766386.0808,53465.28854,1223609.943,84400.7351
29,3,"(80,90]",4874424.288,1646764.89,8117829.871,5198228.41,3243405.582,4545931.859,7866.472268,3665.6018,1198374.87,394001.304,726083.6085,54413.54651,1414716.493,78726.49196
30,3,"(90,100]",4551273.957,1603159.885,6449109.787,3744462.567,1897835.83,3053166.722,7465.60427,3739.66409,1182992.714,395355.7234,716273.5501,41365.31639,1630638.214,93536.21712
31,4,"(0,10]",1454837.422,720372.9163,2500735.505,1977769.414,1045898.084,1634855.308,2855.75382,2343.013673,249274.5753,150495.9418,147420.6386,14338.52376,127775.7103,77748.852
32,4,"(10,20]",1309723.145,537534.643,2796585.832,2734016.125,1486862.687,2577916.103,2667.091526,1871.634585,253633.4593,136180.3388,149382.8088,18107.86271,330220.6885,52517.36447
33,4,"(20,30]",1251914.511,576455.5898,2546068.583,2304442.338,1294154.072,2245821.941,2298.073344,1706.234692,246968.6235,133472.2662,148249.5334,18968.13801,528339.1066,76491.45549
34,4,"(30,40]",1333286.703,600936.0117,2657202.209,2427161.85,1323915.505,2234549.615,2681.414895,2145.35152,288123.4733,155710.5382,171536.8614,18086.18212,778137.8534,83614.93066
35,4,"(40,50]",1371922.29,524417.898,2891282.41,2404852.827,1519360.12,2272206.486,2433.20544,1646.031036,280263.6859,130942.5193,171602.5761,26303.32602,1026843.323,84432.43662
36,4,"(50,60]",1379990.458,536064.9643,3157014.602,2823943.716,1777024.144,2711555.461,2140.494486,1340.773141,278036.5365,119017.1359,173093.2195,22477.96195,1247247.521,86428.33136
37,4,"(60,70]",1355342.242,561021.8447,2820879.018,2754914.519,1465536.776,2609737.338,1982.138087,1469.010949,276978.3371,120928.1878,176036.6547,28803.15082,1461749.561,105196.9398
38,4,"(70,80]",1307465.679,559914.3258,2361370.084,2190646.61,1053904.405,1955440.145,2142.02408,1577.471903,277377.7213,127218.2097,173456.9426,21157.79675,1709920.876,113641.8529
39,4,"(80,90]",1240948.079,420432.3428,3118267.388,2740559.92,1877319.309,2693674.704,1761.532616,1138.546029,262521.4385,93802.11768,170380.1812,20824.36908,1905534.413,115887.6701
40,4,"(90,100]",1202761.428,470441.42,2860766.845,2652900.023,1658005.417,2599708.282,1931.583771,1372.652731,262399.4555,105337.792,163640.2709,24744.74793,2099675.705,131470.3551
