"","scenario","climate.gcm","rcp","decade","manage.cost.rxfire.timberrev.transport.net_mean","manage.cost.rxfire.timberrev.transport.net_sd","all.costs.manage.timber.transport.rx.wildfire_mean","all.costs.manage.timber.transport.rx.wildfire_sd","wildfire.cost_mean","wildfire.cost_sd","chips.green.to.gen.mtons_mean","chips.green.to.gen.mtons_sd","timber.biomass.rev.post.trans.net_mean","timber.biomass.rev.post.trans.net_sd","timber.cuft.annualavg_mean","timber.cuft.annualavg_sd","biomass.cut.mtons_mean","biomass.cut.mtons_sd","cumulative.sequestration.allpools.mtons.carbon.decadeavg_mean","cumulative.sequestration.allpools.mtons.carbon.decadeavg_sd"
"1","1","CanESM",4.5,"(0,10]",0,0,591263.686793203,820980.382382657,591263.686793203,820980.382382657,0,0,0,0,NA,NA,NA,NA,185849.275,111644.503916633
"2","1","CanESM",4.5,"(10,20]",0,0,1132899.00842484,1312301.2065178,1132899.00842484,1312301.2065178,0,0,0,0,NA,NA,NA,NA,497026.393666667,77437.4035083948
"3","1","CanESM",4.5,"(20,30]",0,0,1236376.40199583,1309769.18377759,1236376.40199583,1309769.18377759,0,0,0,0,NA,NA,NA,NA,717417.549,57556.2156028449
"4","1","CanESM",4.5,"(30,40]",0,0,1699276.2024357,2211242.01381995,1699276.2024357,2211242.01381995,0,0,0,0,NA,NA,NA,NA,861358.125333333,53414.0334588544
"5","1","CanESM",4.5,"(40,50]",0,0,1661913.85670714,2103113.75740833,1661913.85670714,2103113.75740833,0,0,0,0,NA,NA,NA,NA,972583.196333333,63565.6295272813
"6","1","CanESM",4.5,"(50,60]",0,0,1173266.77098008,1559517.81975926,1173266.77098008,1559517.81975926,0,0,0,0,NA,NA,NA,NA,1084721.72966667,88105.4354114675
"7","1","CanESM",4.5,"(60,70]",0,0,1855614.9599407,2233158.29091608,1855614.9599407,2233158.29091608,0,0,0,0,NA,NA,NA,NA,1201857.436,94998.3901394813
"8","1","CanESM",4.5,"(70,80]",0,0,481741.98808246,585764.18438548,481741.98808246,585764.18438548,0,0,0,0,NA,NA,NA,NA,1346528.944,75602.5804742836
"9","1","CanESM",4.5,"(80,90]",0,0,1718593.91930024,1992832.48071607,1718593.91930024,1992832.48071607,0,0,0,0,NA,NA,NA,NA,1491233.173,74190.4337995656
"10","1","CanESM",4.5,"(90,100]",0,0,2578234.57692531,2923755.35931336,2578234.57692531,2923755.35931336,0,0,0,0,NA,NA,NA,NA,1502560.80733333,91193.6857798071
"11","1","CanESM",8.5,"(0,10]",0,0,521563.607046736,613463.306011185,521563.607046736,613463.306011185,0,0,0,0,NA,NA,NA,NA,165632.085666667,101243.320574101
"12","1","CanESM",8.5,"(10,20]",0,0,788941.482031214,1110380.27443195,788941.482031214,1110380.27443195,0,0,0,0,NA,NA,NA,NA,492882.067,87822.3418200559
"13","1","CanESM",8.5,"(20,30]",0,0,1460463.97467822,1662205.24367292,1460463.97467822,1662205.24367292,0,0,0,0,NA,NA,NA,NA,722725.994333333,58710.0891481788
"14","1","CanESM",8.5,"(30,40]",0,0,823395.688777226,1009151.07946939,823395.688777226,1009151.07946939,0,0,0,0,NA,NA,NA,NA,889234.157333333,65185.9108039931
"15","1","CanESM",8.5,"(40,50]",0,0,879381.702684935,1066789.40699493,879381.702684935,1066789.40699493,0,0,0,0,NA,NA,NA,NA,1064164.16766667,82280.5623857783
"16","1","CanESM",8.5,"(50,60]",0,0,952423.551788613,1210666.11939067,952423.551788613,1210666.11939067,0,0,0,0,NA,NA,NA,NA,1283214.698,91742.261395049
"17","1","CanESM",8.5,"(60,70]",0,0,909302.008975701,803101.604486802,909302.008975701,803101.604486802,0,0,0,0,NA,NA,NA,NA,1463492.26066667,103918.205850015
"18","1","CanESM",8.5,"(70,80]",0,0,698198.778424908,674549.590125876,698198.778424908,674549.590125876,0,0,0,0,NA,NA,NA,NA,1582469.31966667,144898.377134573
